Time,Data
1,2472
2,2470
3,2480
4,2472
5,2465
6,2476
7,2477
8,2476
9,2480
10,2467
11,2498
12,2469
13,2475
14,2468
15,2464
16,2469
17,2473
18,2471
19,2462
20,2482
21,2463
22,2464
23,2473
24,2473
25,2480
26,2454
27,2469
28,2481
29,2471
30,2455
31,2473
32,2466
33,2477
34,2435
35,2416
36,2427
37,2461
38,2448
39,2459
40,2459
41,2463
42,2423
43,2418
44,2448
45,2454
46,2448
47,2438
48,2429
49,2442
50,2461
51,2435
52,2416
53,2459
54,2457
55,2453
56,2439
57,2448
58,2437
59,2465
60,2449
61,2434
62,2431
63,2415
64,2457
65,2432
66,2407
67,2458
68,2447
69,2435
70,2439
71,2453
72,2455
73,2453
74,2426
75,2446
76,2419
77,2438
78,2453
79,2450
80,2449
81,2448
82,2435
83,2455
84,2477
85,2461
86,2455
87,2442
88,2448
89,2457
90,2448
91,2453
92,2455
93,2426
94,2443
95,2454
96,2430
97,2413
98,2432
99,2448
100,2419
101,2454
102,2419
103,2416
104,2456
105,2415
106,2449
107,2454
108,2402
109,2453
110,2438
111,2453
112,2444
113,2448
114,2453
115,2448
116,2457
117,2436
118,2414
119,2453
120,2448
121,2448
122,2454
123,2448
124,2429
125,2426
126,2446
127,2447
128,2448
129,2446
130,2454
131,2435
132,2460
133,2416
135,2421
136,2443
137,2455
138,2451
139,2454
140,2430
141,2452
142,2454
143,2431
144,2417
145,2454
146,2451
147,2455
148,2448
149,2423
150,2448
151,2448
152,2445
153,2411
154,2419
155,2414
156,2427
157,2445
158,2432
159,2432
160,2416
161,2418
162,2427
163,2448
164,2448
165,2458
166,2416
167,2451
168,2449
169,2453
170,2426
171,2430
172,2448
173,2411
174,2455
175,2434
176,2421
177,2422
178,2445
179,2448
180,2414
181,2447
182,2455
183,2443
184,2443
185,2449
186,2436
187,2457
188,2455
189,2454
190,2419
191,2403
192,2455
193,2437
194,2419
195,2449
196,2451
197,2444
198,2448
199,2448
200,2434
201,2445
202,2448
203,2415
204,2448
205,2446
206,2450
207,2449
208,2435
209,2449
210,2423
211,2450
212,2449
213,2423
214,2445
215,2451
216,2427
217,2447
218,2417
219,2419
220,2431
221,2452
222,2448
223,2435
224,2447
225,2449
226,2431
227,2448
228,2447
229,2451
230,2449
231,2462
232,2448
233,2409
234,2448
235,2450
236,2414
237,2449
238,2450
239,2447
240,2419
241,2443
242,2399
243,2434
244,2447
245,2445
246,2422
247,2448
248,2419
249,2447
250,2451
251,2410
252,2447
253,2437
255,2430
256,2442
257,2416
258,2445
259,2453
260,2429
261,2449
262,2439
263,2443
264,2435
265,2418
266,2411
267,2449
268,2444
269,2448
270,2416
271,2416
272,2442
273,2441
274,2449
275,2429
276,2429
277,2448
278,2406
279,2443
280,2405
281,2448
282,2434
283,2419
284,2441
285,2444
286,2447
287,2443
288,2446
289,2448
290,2443
291,2450
292,2425
293,2445
294,2448
295,2447
296,2427
297,2416
298,2441
299,2448
300,2416
301,2447
302,2448
303,2450
304,2448
305,2437
306,2453
307,2407
308,2442
309,2407
310,2448
311,2448
312,2445
313,2447
314,2448
315,2445
316,2416
317,2448
318,2443
319,2445
320,2419
321,2443
322,2449
323,2446
324,2426
325,2450
326,2418
327,2432
328,2405
329,2434
330,2425
331,2448
332,2445
333,2404
334,2413
335,2442
336,2417
337,2439
338,2441
339,2420
340,2448
341,2443
342,2431
343,2416
344,2447
345,2448
346,2418
347,2449
348,2445
349,2454
350,2423
351,2446
352,2446
353,2421
354,2415
355,2445
356,2411
357,2404
358,2448
359,2406
360,2446
361,2446
362,2442
363,2412
364,2443
365,2441
366,2448
367,2419
368,2448
369,2448
370,2415
371,2448
372,2448
373,2448
374,2449
376,2427
377,2416
378,2443
379,2441
380,2409
381,2448
382,2416
383,2425
384,2417
385,2448
386,2449
387,2445
388,2429
389,2442
390,2447
391,2421
392,2407
393,2416
394,2418
395,2431
396,2450
397,2441
398,2417
399,2416
400,2435
401,2448
402,2426
403,2447
404,2437
405,2405
406,2436
407,2442
408,2446
409,2438
410,2411
411,2407
412,2447
413,2423
414,2404
415,2442
416,2439
417,2445
418,2415
419,2448
420,2419
421,2447
422,2446
423,2448
424,2407
425,2414
426,2445
427,2448
428,2411
429,2448
430,2422
431,2444
432,2447
433,2448
434,2425
435,2447
436,2415
437,2448
438,2419
439,2449
440,2415
441,2437
442,2426
443,2448
444,2416
445,2448
446,2442
447,2446
448,2447
449,2436
450,2448
451,2440
452,2415
453,2417
454,2439
455,2442
456,2415
457,2384
458,2432
459,2448
460,2439
461,2423
462,2371
463,2413
464,2415
465,2444
466,2446
467,2426
468,2416
469,2448
470,2447
471,2413
472,2433
473,2448
474,2447
475,2414
476,2443
477,2420
478,2411
479,2436
480,2417
481,2449
482,2448
483,2421
484,2437
485,2416
486,2413
487,2442
488,2415
489,2445
490,2410
491,2446
492,2419
493,2442
494,2441
495,2432
496,2419
497,2443
498,2435
499,2418
500,2413
501,2441
502,2416
503,2435
504,2445
505,2446
506,2448
507,2439
508,2442
509,2418
510,2439
511,2448
512,2448
513,2416
514,2415
515,2421
516,2437
517,2419
518,2437
519,2438
520,2402
521,2403
522,2448
523,2448
524,2416
525,2448
526,2438
527,2415
528,2411
529,2445
530,2419
531,2445
532,2439
533,2403
534,2439
535,2427
536,2446
537,2405
538,2447
539,2423
540,2422
541,2407
543,2442
544,2401
545,2426
546,2438
547,2421
548,2414
549,2443
550,2448
551,2401
552,2434
553,2437
554,2421
555,2432
556,2422
557,2433
558,2436
559,2433
560,2416
561,2439
562,2445
563,2438
564,2438
565,2432
566,2445
567,2411
568,2441
569,2441
570,2424
571,2439
572,2439
573,2416
574,2417
575,2439
576,2442
577,2430
578,2438
579,2447
580,2395
581,2443
582,2447
583,2448
584,2437
585,2399
586,2437
587,2435
588,2384
589,2448
590,2438
591,2445
592,2426
593,2430
594,2446
595,2438
596,2441
597,2435
598,2447
599,2447
600,2448
601,2445
602,2448
603,2441
604,2436
605,2410
606,2447
607,2434
608,2436
609,2435
610,2434
611,2438
612,2440
613,2433
614,2436
615,2415
616,2403
617,2431
618,2434
619,2432
620,2438
621,2449
622,2407
623,2447
624,2407
625,2445
626,2431
627,2438
628,2431
629,2470
630,2423
631,2443
632,2445
633,2418
634,2437
635,2442
636,2416
637,2397
638,2418
639,2412
640,2440
641,2420
642,2404
643,2448
644,2401
645,2429
646,2444
647,2419
648,2445
649,2446
650,2447
651,2405
652,2443
653,2416
654,2418
655,2439
656,2397
657,2407
658,2401
659,2438
660,2448
661,2427
662,2423
663,2437
664,2418
665,2443
666,2433
667,2437
668,2441
669,2432
670,2405
671,2439
672,2409
673,2439
674,2423
675,2448
676,2439
677,2443
678,2434
679,2442
680,2439
682,2407
683,2436
684,2438
685,2421
686,2435
687,2446
688,2401
689,2414
690,2416
691,2418
692,2431
693,2399
694,2406
695,2433
696,2441
697,2445
698,2448
699,2434
700,2440
701,2415
702,2437
703,2414
704,2437
705,2416
706,2438
707,2399
708,2389
709,2415
710,2441
711,2435
712,2438
713,2442
